"Name","Example","Description","Type","Min","Max","Default"
"Boost_Acquire","[link](../json/campaign-individualimmunitychanger_boost_acquire.json)","Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.","float","0","1","0"
"Boost_Mortality","[link](../json/campaign-individualimmunitychanger_boost_mortality.json)","Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.","float","0","1","0"
"Boost_Threshold_Acquire","[link](../json/campaign-individualimmunitychanger_boost_threshold_acquire.json)","Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.","float","0","1","0"
"Boost_Threshold_Mortality","[link](../json/campaign-individualimmunitychanger_boost_threshold_mortality.json)","Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.","float","0","1","0"
"Boost_Threshold_Transmit","[link](../json/campaign-individualimmunitychanger_boost_threshold_transmit.json)","Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.","float","0","1","0"
"Boost_Transmit","[link](../json/campaign-individualimmunitychanger_boost_transmit.json)","Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.","float","0","1","0"
"Cost_To_Consumer","[link](../json/campaign-individualimmunitychanger_cost_to_consumer.json)","The unit cost per vaccine (unamortized).","float","0","999999","1"
"Prime_Acquire","[link](../json/campaign-individualimmunitychanger_prime_acquire.json)","Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.","float","0","1","0"
"Prime_Mortality","[link](../json/campaign-individualimmunitychanger_prime_mortality.json)","Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.","float","0","1","0"
"Prime_Transmit","[link](../json/campaign-individualimmunitychanger_prime_transmit.json)","Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.","float","0","1","0"
